ID,Título:,Año:,Duración:,Posición:,Rating:
0,Cadena perpetua,1994,2h 22m,1,13
1,El padrino,1972,2h 55m,2,18
2,El caballero oscuro,2008,2h 32m,3,13
3,El padrino parte II,1974,3h 22m,4,18
4,12 hombres sin piedad,1957,1h 36m,5,A
5,El señor de los anillos: El retorno del rey,2003,3h 21m,6,13
6,La lista de Schindler,1993,3h 15m,7,13
7,Pulp Fiction,1994,2h 34m,8,18
8,El señor de los anillos: La comunidad del anillo,2001,2h 58m,9,12
9,"El bueno, el feo y el malo",1966,3h 2m,10,14
10,Forrest Gump,1994,2h 22m,11,A
11,El señor de los anillos: Las dos torres,2002,2h 59m,12,13
12,El club de la lucha,1999,2h 19m,13,18
13,Origen,2010,2h 28m,14,12
14,El imperio contraataca,1980,2h 4m,15,A
15,Matrix,1999,2h 16m,16,18
16,Uno de los nuestros,1990,2h 25m,17,18
17,Interstellar,2014,2h 49m,18,12
18,Alguien voló sobre el nido del cuco,1975,2h 13m,19,18
19,Seven,1995,2h 7m,20,18
20,Qué bello es vivir,1946,2h 10m,21,A
21,El silencio de los corderos,1991,1h 58m,22,18
22,Los siete samuráis,1954,3h 27m,23,A
23,Salvar al soldado Ryan,1998,2h 49m,24,13
24,Ciudad de Dios,2002,2h 10m,25,18
